Month,Income,Advances,Chargebacks,NetCommission,OtherIncome,Marketing,Payroll,PayrollSales,PayrollAdmin,PayrollOther,Overhead,Agent Count,AgentsTraining,AgentsPerforming
Jan-24,812833.7,813091.8,-274224.66,538867.14,273966.56,326395.85,350978.76,,,,203723.2,14,0,14
Feb-24,695746.25,736844.64,-305695.63,431149.01,264597.24,364174.63,312802.48,,,,236758.4,16,7,9
Mar-24,929272.19,860484.66,-315799.43,544685.23,384586.96,423337.43,379747.63,,,,222810.53,19,9,10
Apr-24,958605.26,1005736.65,-320783.72,684952.93,273652.33,554842.69,469362.4,,,,245887.43,25,13,12
May-24,1073966.87,1238741.7,-489153.93,749587.77,324379.1,626238.39,530776.22,,,,265530.16,30,16,14
Jun-24,1245681.02,1408165.34,-473444.85,934720.49,310960.53,617040.2,604706.39,,,,235710.13,38,24,14
Jul-24,1394019.67,1757760.13,-675133.87,1082626.26,311393.41,538300.51,890538.31,,,,344316.35,47,26,21
Aug-24,1928643.32,2438808.95,-772990.89,1665818.06,262825.26,659256.01,822997.86,,,,342832.59,56,24,32
Sep-24,1537166.13,2023004.75,-865296.99,1157707.76,379458.37,1064514.08,933954.98,809486.27,123728.41,740.3,406589.55,72,34,38
Oct-24,1407975.19,2234615.75,-1054882.46,1179733.29,228241.9,1312893.13,961497.28,766888.86,122348.41,72260.01,396991.05,78,32,46
Nov-24,1915852.93,2449256.01,-831271.34,1617984.67,297868.26,534780.15,772345.44,798030.65,103336.39,-129021.6,336622.69,68,10,58
Dec-24,1771515.77,2792636.08,-1172244.5,1620391.58,151124.19,561852.19,1249573.23,754174.15,101611,393788.08,592199.24,73,11,62
Jan-25,1972442.77,3153230.9,-1399009.9,1754221,218221.77,875197.31,975560.65,1039981.31,136156.86,-200577.52,473441.34,68,14,54
Feb-25,1938834.62,3431944.42,-1748419.58,1683524.84,255309.78,703540.54,921570.95,749205.54,106755.54,65609.87,487825.82,77,18,59
Mar-25,2105218.94,3609162.78,-1753454.39,1855708.39,249510.55,862851.21,1010979.55,819371.11,115889.64,75718.8,464209.14,82,27,55
Apr-25,2197431.2,3898469.6,-1990789.27,1907680.33,289750.87,1280623.09,1243732.46,891852.93,125765.41,226114.12,565014.55,83,28,55
May-25,2413023.06,3855555.88,-1932934.8,1922621.08,490401.98,1047166.44,1123529.82,1070775.15,125191.32,-72436.65,510010.14,94,30,64
Jun-25,2231212.53,4368466.28,-2344869.18,2023597.1,207615.43,1104281.44,1517609.65,975936.87,129019.22,412653.56,527855.91,96,23,73
Jul-25,2586367.84,5136754.45,-2544196.65,2592557.8,-6189.96,914101.52,1154628.53,916478.51,135258.87,102891.15,462138.92,103,27,76
Aug-25,2591573.89,4013612.26,-2432248.72,1581363.54,1010210.35,1204520.35,1220642.75,1317475.59,171294.92,-268127.76,430093.54,105,31,74
